* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
495.000 124.000   8.270   0.509  -0.503
496.000 124.000   8.267   0.456  -0.502
497.000 125.000   8.246   0.403  -0.544
498.000 125.000   8.248   0.456  -0.545
499.000 125.000   8.267   0.456  -0.502
500.000 125.000   8.266   0.403  -0.501
501.000 126.000   8.245   0.351  -0.544
502.000 126.000   8.246   0.403  -0.544
503.000 126.000   8.266   0.403  -0.501
504.000 126.000   8.264   0.351  -0.501
505.000 127.000   8.244   0.298  -0.543
506.000 127.000   8.245   0.351  -0.544
507.000 127.000   8.264   0.351  -0.501
508.000 127.000   8.263   0.298  -0.500
509.000 128.000   8.243   0.245  -0.543
510.000 128.000   8.244   0.298  -0.543
511.000 128.000   8.263   0.298  -0.500
512.000 128.000   8.262   0.245  -0.500
513.000 129.000   8.245   0.194  -0.544
514.000 129.000   8.243   0.245  -0.543
515.000 129.000   8.262   0.245  -0.500
516.000 129.000   8.264   0.194  -0.501
517.000 130.000   8.247   0.142  -0.545
518.000 130.000   8.245   0.194  -0.544
519.000 130.000   8.264   0.194  -0.501
520.000 130.000   8.266   0.142  -0.502
521.000 131.000   8.250   0.091  -0.546
522.000 131.000   8.247   0.142  -0.545
523.000 131.000   8.266   0.142  -0.502
524.000 131.000   8.269   0.091  -0.503
525.000 132.000   8.253   0.040  -0.547
526.000 132.000   8.250   0.091  -0.546
