* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
504.000 168.000   7.558  -3.388  -0.500
505.000 169.000   7.621  -3.288  -0.437
506.000 169.000   7.558  -3.388  -0.500
507.000 169.000   7.587  -3.385  -0.438
508.000 170.000   7.556  -3.511  -0.444
509.000 170.000   7.590  -3.478  -0.453
510.000 170.000   7.563  -3.474  -0.441
511.000 171.000   7.536  -3.499  -0.568
512.000 171.000   7.590  -3.478  -0.453
513.000 171.000   7.582  -3.521  -0.456
514.000 172.000   7.592  -3.391  -0.498
515.000 172.000   7.590  -3.478  -0.453
516.000 172.000   7.544  -3.462  -0.563
517.000 173.000   7.536  -3.499  -0.568
518.000 173.000   7.556  -3.511  -0.444
519.000 173.000   7.508  -3.488  -0.560
520.000 174.000   7.508  -3.488  -0.560
521.000 174.000   7.563  -3.474  -0.441
522.000 174.000   7.509  -3.455  -0.569
523.000 175.000   7.558  -3.388  -0.500
524.000 175.000   7.563  -3.474  -0.441
525.000 175.000   7.587  -3.385  -0.438
526.000 176.000   7.590  -3.478  -0.453
527.000 176.000   7.587  -3.385  -0.438
528.000 176.000   7.563  -3.474  -0.441
529.000 177.000   7.214  -3.347  -1.354
530.000 177.000   7.229  -3.357  -1.240
