$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.40816     -1.25517   -7.56254e+07      
1.40816     -1.23448   -6.03089e+06      
1.40816     -1.21379    4.88862e+07      
1.40816     -1.19310    1.83994e+08      
1.40816     -1.17241    2.12689e+08      
1.40816     -1.15172   -8.11257e+07      
1.40816     -1.13103   -1.02117e+07      
1.40816     -1.11034    1.13395e+07      
1.40816     -1.08966       -304492.      
1.40816     -1.06897        961546.      
1.40816     -1.04828   -3.43385e+06      
1.40816     -1.02759    1.97007e+06      
1.40816     -1.00690    4.82155e+06      
1.40816    -0.986207    3.63237e+06      
1.40816    -0.965517    7.27104e+06      
1.40816    -0.944828    6.27403e+06      
1.40816    -0.924138   -1.20828e+06      
1.40816    -0.903448   -4.47903e+06      
1.40816    -0.882759    2.02815e+06      
1.40816    -0.862069    3.12927e+06      
1.40816    -0.841379    4.51171e+06      
1.40816    -0.820690   -3.50079e+06      
1.40816    -0.800000       -556820.      
1.42857     -1.40000        0.00000      
1.42857     -1.37931       -105978.      
1.42857     -1.35862   -8.97876e+07      
1.42857     -1.33793    1.16093e+08      
1.42857     -1.31724   -6.93173e+07      
1.42857     -1.29655    1.48442e+07      
1.42857     -1.27586   -1.19459e+07      
1.42857     -1.25517   -3.81154e+07      
1.42857     -1.23448   -4.38493e+07      
1.42857     -1.21379    1.41101e+08      
1.42857     -1.19310    2.58686e+08      
1.42857     -1.17241    1.11277e+08      
1.42857     -1.15172   -8.11201e+07      
1.42857     -1.13103   -4.22698e+07      
1.42857     -1.11034    1.58823e+07      
1.42857     -1.08966       -95339.1      
1.42857     -1.06897       -239100.      
1.42857     -1.04828   -5.95887e+06      
